item_idx,assoc_item_idx,rank,support_count,confidence,lift
3990,2782,3,3,0.0536,20.36
3990,5161,4,4,0.0714,3.12
5905,3990,1,13,0.1806,89.46
5905,1759,2,3,0.0417,72.26
5905,7037,3,3,0.0417,52.55
5905,244,4,5,0.0694,41.0
5905,2782,5,7,0.0972,36.95
5905,6424,6,3,0.0417,23.59
5905,3136,7,3,0.0417,21.41
5905,3242,8,3,0.0417,21.02
4816,4609,1,43,0.1792,14.24
4816,2862,2,6,0.025,10.84
4816,2063,3,13,0.0542,10.15
4816,5793,4,5,0.0208,10.14
4816,601,5,6,0.025,9.77
4816,5464,6,3,0.0125,9.37
4816,5965,7,17,0.0708,9.1
4816,3844,8,3,0.0125,8.89
4816,6431,9,3,0.0125,7.38
4816,4165,10,4,0.0167,6.51
222,5258,1,5,0.037,18.35
222,1543,2,3,0.0222,10.82
222,289,3,6,0.0444,10.45
222,2147,4,6,0.0444,8.39
222,4582,5,9,0.0667,7.97
222,4283,6,11,0.0815,7.41
222,2405,7,3,0.0222,7.34
222,7119,8,3,0.0222,5.99
222,5066,9,13,0.0963,5.57
222,643,10,3,0.0222,3.71
289,5258,1,8,0.0678,33.59
289,1543,2,8,0.0678,33.0
289,619,3,3,0.0254,21.38
289,5049,4,3,0.0254,20.15
289,5995,5,3,0.0254,17.21
289,635,6,4,0.0339,15.94
289,7145,7,3,0.0254,15.01
289,4582,8,14,0.1186,14.19
289,7000,9,4,0.0339,14.04
289,2147,10,8,0.0678,12.8
4582,2091,1,3,0.0129,29.9
4582,5258,2,8,0.0345,17.08
4582,3893,3,3,0.0129,15.6
4582,1543,4,7,0.0302,14.69
4582,289,5,14,0.0603,14.19
4582,2949,6,3,0.0129,13.29
4582,2945,7,3,0.0129,12.81
4582,2147,8,15,0.0647,12.2
4582,4275,9,4,0.0172,11.67
4582,7000,10,6,0.0259,10.71
1027,643,1,3,0.2727,45.58
925,6868,1,4,0.8,3170.97
6868,925,1,4,0.5714,3170.97
6868,4625,2,3,0.4286,2972.79
605,2980,1,3,0.0833,77.07
605,2401,2,3,0.0833,12.36
605,5066,3,3,0.0833,4.82
1002,3139,1,4,0.0597,57.12
1002,932,2,3,0.0448,46.01
1002,23,3,3,0.0448,42.84
1002,340,4,3,0.0448,41.41
1002,5496,5,3,0.0448,37.65
1002,6326,6,3,0.0448,33.58
1002,1848,7,3,0.0448,31.86
1002,6588,8,3,0.0448,24.85
1002,4618,9,3,0.0448,23.44
1002,3136,10,3,0.0448,23.01
197,4704,1,6,0.1224,31.17
4704,197,1,6,0.055,31.17
4704,1275,2,3,0.0275,19.58
4704,2670,3,4,0.0367,2.27
4704,5161,4,4,0.0367,1.6
4704,5066,5,3,0.0275,1.59
4500,707,1,3,0.0231,58.21
4500,3547,2,13,0.1,32.26
4500,5632,3,8,0.0615,31.04
4500,7189,4,3,0.0231,26.68
4500,2369,5,3,0.0231,24.63
4500,2108,6,4,0.0308,24.39
4500,3353,7,3,0.0231,23.71
4500,23,8,3,0.0231,22.08
4500,524,9,3,0.0231,22.08
4500,5391,10,3,0.0231,16.42
4801,1413,1,3,0.2143,349.74
4801,5039,2,3,0.2143,152.45
4657,3331,1,9,0.1765,153.01
4657,1639,2,3,0.0588,102.01
